id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61094,-122.29286,Entire home/apt,475,30,32,2020-02-01,0.58,2,238
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,102,2,153,2021-07-12,2.45,1,87
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,75,2,149,2021-06-28,1.12,9,275
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,165,5,45,2021-05-31,0.52,2,276
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,5,58,2021-04-25,0.58,2,311
9909,Luna Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,88,30,76,2019-10-21,1.45,9,311
10209,Cozy West Seattle Home,31553,Mike & Cassandra,Delridge,High Point,47.5525,-122.36337,Private room,75,5,43,2021-07-01,0.31,3,242
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,82,2,857,2021-07-05,11.99,1,99
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,30,97,2020-03-17,0.87,2,286
41401,Home Away From Home - MIL Suite,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.55991,-122.31195,Entire home/apt,95,30,28,2017-05-06,0.23,1,194
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,149,30,0,,,2,123
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,Alki,47.57985,-122.40412,Entire home/apt,112,2,181,2021-07-07,1.64,1,139
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,45,2021-04-18,0.37,1,285
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.57063,-122.4065,Private room,100,2,143,2021-06-01,1.82,2,294
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,89,3,426,2021-07-03,3.53,2,304
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,2020-08-03,1.68,1,194
132160,Green Lake Guest Suite with Infrared Sauna,558743,Natalie,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,189,3,307,2021-07-06,3.58,1,121
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.62023,-122.29142,Private room,70,30,160,2021-06-03,2.63,1,300
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,300,30,27,2021-04-07,0.32,1,317
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,60,30,75,2020-11-01,1.02,4,105
217142,Location! Monthly Discounts  spacious 2Bd/2Ba,8243075,Lori,Downtown,Belltown,47.61576,-122.34667,Entire home/apt,379,2,195,2021-06-13,2.31,4,277
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,Ballard,Loyal Heights,47.68177,-122.38025,Private room,93,2,136,2021-06-01,1.60,2,141
224763,Location! Low Monthly Rates.  Luxury w/pkg inc.,8243075,Lori,Downtown,Belltown,47.61519,-122.34948,Entire home/apt,249,2,133,2021-07-06,1.53,4,265
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,46,1,218,2020-03-01,9.46,2,220
226677,Sunny Parisian room w/ best cooling memoryfoam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,55,2,169,2021-06-22,2.34,9,321
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57178,-122.37466,Private room,60,30,1,2012-06-06,0.01,1,163
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,375,1,104,2021-06-18,2.95,3,153
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,165,30,299,2019-09-09,2.68,3,307
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,85,30,161,2019-10-31,1.41,1,131
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,125,3,87,2021-06-26,4.02,1,323
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Lori,Downtown,Belltown,47.61477,-122.34803,Entire home/apt,249,2,140,2021-06-04,3.00,4,235
278830,Shining Starlight house in Seattle,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,439,2,75,2020-02-16,1.69,4,101
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,200,3,236,2021-07-01,2.81,1,296
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62583,-122.29938,Entire home/apt,150,4,10,2019-08-17,0.10,1,260
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,169,30,12,2021-02-12,0.10,1,301
338091,"spacious, great location w view",1717589,Judy,Capitol Hill,Broadway,47.61965,-122.32374,Entire home/apt,260,30,120,2019-10-06,1.07,3,351
